method,seed,K,num_mashups,catalog_size,total_recommendation_slots,unique_recommended_apis,catalog_coverage,seen_catalog_coverage,long_tail_catalog_coverage,unique_lists,unique_list_ratio,avg_pairwise_jaccard,personalization,gini,normalized_entropy,effective_catalog_size,avg_train_frequency,avg_log1p_train_frequency,novelty
Popularity,0,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Popularity,0,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,1,0.0006079027355623101,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,492.7,5.8867123276633935,5.240390591399142
Popularity,1,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Popularity,1,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,1,0.0006079027355623101,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,492.7,5.8867123276633935,5.240390591399142
Popularity,2,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Popularity,2,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,1,0.0006079027355623101,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,492.7,5.8867123276633935,5.240390591399142
Graph-only,0,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Graph-only,0,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,3,0.00182370820668693,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,492.4,5.884577015216336,5.243471196077261
Graph-only,1,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Graph-only,1,10,1645,1647,16450,11,0.006678809957498482,0.007874015748031496,0.0,3,0.00182370820668693,0.909144828355886,0.09085517164411405,0.9938697419827521,0.32022848639985946,10.717091101269434,490.8376291793313,5.87158636067681,5.262212748959339
