method,seed,Recall@5,NDCG@5,HitRate@5,MAP@5,Recall@10,NDCG@10,HitRate@10,MAP@10,best_epoch,val_NDCG@10,eligible_mashups,method_key
Popularity,0,0.3920582599117403,0.3602112312970252,0.5458966565349544,0.3107272880783519,0.48210781930414187,0.3909664329906426,0.6413373860182371,0.32300622309601534,,,,
Popularity,1,0.3920582599117403,0.3602112312970252,0.5458966565349544,0.3107272880783519,0.48210781930414187,0.3909664329906426,0.6413373860182371,0.32300622309601534,,,,
Popularity,2,0.3920582599117403,0.3602112312970252,0.5458966565349544,0.3107272880783519,0.48210781930414187,0.3909664329906426,0.6413373860182371,0.32300622309601534,,,,
TF-IDF,0,0.30084954205727293,0.2608013078321578,0.40182370820668695,0.22300371496116175,0.36822992665284016,0.2857315891487139,0.48936170212765956,0.23344384280223401,,,,
TF-IDF,1,0.30084954205727293,0.2608013078321578,0.40182370820668695,0.22300371496116175,0.36822992665284016,0.2857315891487139,0.48936170212765956,0.23344384280223401,,,,
TF-IDF,2,0.30084954205727293,0.2608013078321578,0.40182370820668695,0.22300371496116175,0.36822992665284016,0.2857315891487139,0.48936170212765956,0.23344384280223401,,,,
BM25,0,0.3378040237730057,0.29736858786976683,0.4541033434650456,0.2562571766295171,0.4113492091820994,0.32361115730836787,0.5416413373860183,0.26722806001833355,,,,
BM25,1,0.3378040237730057,0.29736858786976683,0.4541033434650456,0.2562571766295171,0.4113492091820994,0.32361115730836787,0.5416413373860183,0.26722806001833355,,,,
BM25,2,0.3378040237730057,0.29736858786976683,0.4541033434650456,0.2562571766295171,0.4113492091820994,0.32361115730836787,0.5416413373860183,0.26722806001833355,,,,
Category-Jaccard,0,0.09938407068298695,0.07505640310646228,0.1458966565349544,0.05832117527862209,0.14008052493299028,0.08943287128960088,0.20851063829787234,0.06348242228333413,,,,
Category-Jaccard,1,0.09938407068298695,0.07505640310646228,0.1458966565349544,0.05832117527862209,0.14008052493299028,0.08943287128960088,0.20851063829787234,0.06348242228333413,,,,
Category-Jaccard,2,0.09938407068298695,0.07505640310646228,0.1458966565349544,0.05832117527862209,0.14008052493299028,0.08943287128960088,0.20851063829787234,0.06348242228333413,,,,
BGE,0,0.25453904638778585,0.22136790418623042,0.3434650455927052,0.19040206011482608,0.3151822835963726,0.24349075001019838,0.42613981762917935,0.19941439105192904,,,,
BGE,1,0.25453904638778585,0.22136790418623042,0.3434650455927052,0.19040206011482608,0.3151822835963726,0.24349075001019838,0.42613981762917935,0.19941439105192904,,,,
BGE,2,0.25453904638778585,0.22136790418623042,0.3434650455927052,0.19040206011482608,0.3151822835963726,0.24349075001019838,0.42613981762917935,0.19941439105192904,,,,
Inductive BPR-MF,0,0.6542869192447582,0.6515263970375303,0.8139817629179331,0.6024753461668355,0.6984555527410363,0.6652959483385242,0.8364741641337387,0.6087465587214285,410.0,0.6632204273200764,,
Inductive BPR-MF,1,0.6534835972712234,0.6519047208875044,0.8109422492401216,0.603128672745694,0.6960783900795321,0.6652799130979856,0.8382978723404255,0.6090194051390678,490.0,0.6591535097355309,,
Inductive BPR-MF,2,0.649132546430811,0.6484240125371903,0.8085106382978723,0.6000621411685242,0.7003407004691444,0.6650530594342257,0.8376899696048632,0.6075465658626391,300.0,0.6523750337135045,,
Inductive LightGCN,0,0.6681705010462732,0.6605690362341902,0.8237082066869301,0.6103785883147584,0.7164732109660679,0.6764478600854246,0.8541033434650456,0.6173523677229531,500.0,0.6698873672071902,,
Inductive LightGCN,1,0.6676829507714889,0.65966020040892,0.8261398176291793,0.6092181695373184,0.7182217387149242,0.6756950483016134,0.8571428571428571,0.6160282052931496,450.0,0.6687509007213177,,
Inductive LightGCN,2,0.668746041682604,0.6601731714359698,0.8243161094224924,0.6098257345491388,0.7250669165023514,0.6784361149769336,0.8583586626139817,0.6178180407083468,480.0,0.6648656509422204,,
Graph-only,0,0.3920582599117402,0.3602112312970266,0.5458966565349544,0.3107272880783518,0.4794346570359218,0.3895539147582388,0.6474164133738601,0.3217475870174713,,,1645.0,graph_only
Graph-only,1,0.3920582599117402,0.3594321357016013,0.5458966565349544,0.3098118878757174,0.4868701428604652,0.3914239722684229,0.6504559270516718,0.3223131402679273,,,1645.0,graph_only
Graph-only,2,0.3920582599117402,0.3601505512698909,0.5458966565349544,0.3105601148260722,0.4776667520971177,0.3886636881435076,0.6443768996960486,0.3212397088070845,,,1645.0,graph_only
Graph+BGE,0,0.5808005567114306,0.5558989747666809,0.7513677811550152,0.4989336372847024,0.6476257631888236,0.5794438231066245,0.8012158054711246,0.5101190984499175,,,1645.0,graph_bge_zscore
Graph+BGE,1,0.5749337582735612,0.5552384209898363,0.7471124620060791,0.499253630530227,0.6378157874589191,0.5763849801723114,0.7969604863221884,0.5084936335054119,,,1645.0,graph_bge_zscore
Graph+BGE,2,0.5608488451335794,0.4928709268921979,0.7325227963525835,0.4246320499831146,0.6404397325610193,0.5214924761296035,0.7993920972644377,0.4380118927003432,,,1645.0,graph_bge_zscore
