case_type,mashup_id,mashup_name,method,top10
middle_rescue,6361,Rentals By Owner Canada,BGE-only,1.Zoopla[Tail]；2.Rentometer[Unseen]；3.Microsoft Mappoint[Middle]；4.Roomorama[Unseen]；5.1map[Tail]；6.Tourcms Marketplace[Middle]；7.Hotelston[Unseen]；8.Facebook Business Mapping[Tail]；9.Geocoder.ca[Middle]✓；10.Globexplorer[Middle]
middle_rescue,6361,Rentals By Owner Canada,Graph+BGE,1.Google Maps[Head]✓；2.Commission Junction[Head]；3.Amazon Product Advertising[Head]；4.Microsoft Bing Maps[Head]；5.Facebook[Head]；6.Google Base[Head]；7.Youtube[Head]；8.Zillow[Head]；9.Ebay[Head]；10.Panoramio[Head]
middle_rescue,6361,Rentals By Owner Canada,Inductive LightGCN,1.Google Maps[Head]✓；2.Oodle[Head]；3.Yahoo Geocoding[Head]；4.Bigtribe[Middle]；5.Geocoder[Head]；6.Google Fusion Tables[Head]；7.Sletoh.com[Middle]；8.Google Adsense[Head]；9.Google Maps Data[Head]；10.Google Earth[Head]
middle_rescue,6361,Rentals By Owner Canada,SCF-LightGCN+BGE,1.Google Maps[Head]✓；2.Tourcms Marketplace[Middle]；3.Geocoder.ca[Middle]✓；4.Globexplorer[Middle]；5.Microsoft Mappoint[Middle]；6.Openstreetmap[Head]；7.Oodle[Head]；8.Geocoder[Head]；9.Mapstraction[Tail]；10.Facebook Business Mapping[Tail]
tail_rescue,5242,Fix It Repair Guides Android,BGE-only,1.Ifixit[Tail]✓；2.Handset Detection[Tail]；3.Producteev[Tail]；4.Windshieldrepair Tech Auto Glass[Tail]；5.Mobile Phone Megastore[Tail]；6.Hacker News Mobile[Tail]；7.Allogarage[Tail]；8.Pricerunner[Head]；9.Moves[Tail]；10.Evernote[Head]
tail_rescue,5242,Fix It Repair Guides Android,Graph+BGE,1.Google Base[Head]；2.Youtube[Head]；3.Google Homepage[Head]；4.Ebay[Head]；5.Twitter[Head]；6.Google Maps[Head]；7.411sync[Head]；8.Twilio[Head]；9.Amazon S3[Head]；10.Pricerunner[Head]
tail_rescue,5242,Fix It Repair Guides Android,Inductive LightGCN,1.Wikia[Tail]；2.Windshieldrepair Tech Auto Glass[Tail]；3.Mediatemple[Middle]；4.Recognize.im[Middle]；5.Angellist[Head]；6.Gatekrash[Tail]；7.Tesco[Tail]；8.Food[Middle]；9.Coindesk[Head]；10.Gamesradar[Middle]
tail_rescue,5242,Fix It Repair Guides Android,SCF-LightGCN+BGE,1.Windshieldrepair Tech Auto Glass[Tail]；2.Ifixit[Tail]✓；3.Producteev[Tail]；4.Handset Detection[Tail]；5.Mobile Phone Megastore[Tail]；6.Allogarage[Tail]；7.Bike Index[Tail]；8.Evoca[Tail]；9.Moves[Tail]；10.Evernote[Head]
unseen_rescue,5544,Get Digitalhealth Patient Generated Health Data Pilots,BGE-only,1.Gethealth[Unseen]✓；2.Microsoft Healthvault[Tail]；3.Ihealth[Tail]；4.Datarella[Tail]；5.Health 2.0[Unseen]；6.Information Machine[Tail]；7.Cnet[Head]；8.Strava[Middle]；9.Bioid Web Services[Middle]；10.Misfit[Unseen]
unseen_rescue,5544,Get Digitalhealth Patient Generated Health Data Pilots,Graph+BGE,1.Youtube[Head]；2.Twitter[Head]；3.Fitbit[Head]；4.Cnet[Head]；5.Facebook[Head]；6.Twilio[Head]；7.Twilio Sms[Head]；8.Amazon Product Advertising[Head]；9.Google Base[Head]；10.Last.fm[Head]
unseen_rescue,5544,Get Digitalhealth Patient Generated Health Data Pilots,Inductive LightGCN,1.Fitbit[Head]；2.Withings[Middle]；3.Yolink[Middle]；4.Ihealth[Tail]；5.Datarella[Tail]；6.Runkeeper Health Graph[Middle]；7.Mynetdiary Food Search[Tail]；8.Jawbone Up[Middle]；9.Donorschoose[Head]；10.Microsoft Healthvault[Tail]
unseen_rescue,5544,Get Digitalhealth Patient Generated Health Data Pilots,SCF-LightGCN+BGE,1.Gethealth[Unseen]✓；2.Microsoft Healthvault[Tail]；3.Fitbit[Head]；4.Ihealth[Tail]；5.Datarella[Tail]；6.Withings[Middle]；7.Runkeeper Health Graph[Middle]；8.Information Machine[Tail]；9.Health 2.0[Unseen]；10.Donorschoose[Head]
complex_failure,4799,Esync Dashboard,BGE-only,1.Sap Anywhere[Unseen]；2.Bookingmarkets[Tail]；3.Redbooth[Unseen]；4.Cross.io[Tail]；5.Elance[Unseen]；6.Constantcontact[Unseen]；7.Sugarsync[Middle]；8.Envato[Tail]；9.Marketo[Tail]；10.Arcweb[Unseen]
complex_failure,4799,Esync Dashboard,Graph+BGE,1.Google Maps[Head]；2.Twitter[Head]；3.Youtube[Head]；4.Facebook[Head]；5.Ebay[Head]；6.Amazon Product Advertising[Head]；7.Yahoo Maps[Head]；8.Flickr[Head]；9.Twilio[Head]；10.Last.fm[Head]
complex_failure,4799,Esync Dashboard,Inductive LightGCN,1.Amazon S3[Head]；2.Box[Head]；3.Sendgrid[Head]；4.Twilio[Head]；5.Twilio Sms[Head]；6.Dropbox[Head]；7.Microsoft Bing Maps[Head]；8.Heroku[Head]；9.Google Drive[Head]；10.Google Storage[Middle]
complex_failure,4799,Esync Dashboard,SCF-LightGCN+BGE,1.Amazon S3[Head]；2.Sugarsync[Middle]；3.Microsoft Bing Maps[Head]；4.Sendgrid[Head]；5.Twilio[Head]；6.Box[Head]；7.Marketo[Tail]；8.Twilio Sms[Head]；9.Cloud Elements Platform[Tail]；10.Sugarcrm[Middle]
