subset,method,K,group,seeds,group_catalog_size,slot_count_mean,slot_count_std,slot_ratio_mean,slot_ratio_std,unique_recommended_apis_mean,unique_recommended_apis_std,group_catalog_coverage_mean,group_catalog_coverage_std
full,Graph+BGE,5,Head,3,280,8161.0,49.926612809869916,0.9922188449848024,0.006070104900896047,143.66666666666666,24.55379581427053,0.513095238095238,0.08769212790810901
full,Graph+BGE,5,Middle,3,420,60.333333333333336,47.48567035315905,0.007335359675785208,0.005773333781539094,20.666666666666668,10.274023338281626,0.049206349206349205,0.024461960329241972
full,Graph+BGE,5,Tail,3,697,3.6666666666666665,2.494438257849294,0.0004457953394123607,0.0003032751681275738,3.3333333333333335,2.0548046676563256,0.004782400765184123,0.002948069824471055
full,Graph+BGE,5,Unseen,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Graph+BGE,10,Head,3,280,16297.0,96.66436778875658,0.9906990881458967,0.005876253361018628,172.33333333333334,20.49932248202906,0.6154761904761905,0.07321186600724668
full,Graph+BGE,10,Middle,3,420,148.66666666666666,94.70773756961759,0.009037487335359676,0.00575730927474879,38.666666666666664,7.586537784494029,0.09206349206349207,0.01806318520117626
full,Graph+BGE,10,Tail,3,697,4.333333333333333,2.0548046676563256,0.0002634245187436677,0.00012491213785144835,4.0,1.632993161855452,0.005738880918220948,0.002342888324039386
full,Graph+BGE,10,Unseen,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_clean,Graph+BGE,5,Head,3,280,4361.666666666667,33.9050963065371,0.9924156238149413,0.007714470149382707,118.33333333333333,24.239545283597124,0.4226190476190476,0.08656980458427543
strict_clean,Graph+BGE,5,Middle,3,420,31.333333333333332,32.417416443771224,0.007129313613955252,0.007375976437718139,11.333333333333334,8.73053390247253,0.026984126984126985,0.020786985482077452
strict_clean,Graph+BGE,5,Tail,3,697,2.0,1.632993161855452,0.0004550625711035267,0.0003715570334142098,2.0,1.632993161855452,0.002869440459110474,0.002342888324039386
strict_clean,Graph+BGE,5,Unseen,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
