method,seed,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,0,3,Head,4,0.25,0.3903800499921017,0.25,0.25,0.3903800499921017,0.25
Graph+BGE,0,3,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,3,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,6,Head,5,0.4,0.30078518014914984,0.14666666666666667,0.4,0.30078518014914984,0.14666666666666667
Graph+BGE,0,6,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,6,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,8,Head,4,0.25,0.24630238874073,0.125,0.5,0.3853585682515056,0.20833333333333331
Graph+BGE,0,8,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,9,Head,3,0.6666666666666666,0.6508205185601091,0.4666666666666666,0.6666666666666666,0.6508205185601091,0.4666666666666666
Graph+BGE,0,16,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,23,Head,4,0.75,0.8048099750039491,0.6875,1.0,0.9176551163528843,0.7875
Graph+BGE,0,25,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,25,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,25,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,27,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,33,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,37,Head,4,0.5,0.6366824387328317,0.5,0.5,0.6366824387328317,0.5
Graph+BGE,0,37,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,39,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,39,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,47,Head,4,0.25,0.3903800499921017,0.25,0.25,0.3903800499921017,0.25
Graph+BGE,0,51,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,51,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,57,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,57,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,62,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,63,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,64,Head,3,0.0,0.0,0.0,0.6666666666666666,0.3152014104491349,0.13888888888888887
Graph+BGE,0,71,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,73,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,78,Head,2,0.5,0.38685280723454163,0.25,1.0,0.6052602440527057,0.41666666666666663
Graph+BGE,0,93,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,93,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,97,Head,5,0.2,0.3391602052736161,0.2,0.2,0.3391602052736161,0.2
Graph+BGE,0,100,Head,2,1.0,0.9197207891481876,0.8333333333333333,1.0,0.9197207891481876,0.8333333333333333
Graph+BGE,0,105,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,106,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,108,Head,3,0.6666666666666666,0.7039180890341347,0.5555555555555555,0.6666666666666666,0.7039180890341347,0.5555555555555555
Graph+BGE,0,110,Head,2,1.0,0.9197207891481876,0.8333333333333333,1.0,0.9197207891481876,0.8333333333333333
Graph+BGE,0,113,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,116,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,123,Head,12,0.25,0.6164336326286644,0.42000000000000004,0.3333333333333333,0.47842151728792726,0.27666666666666667
Graph+BGE,0,123,Unseen,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,127,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,127,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,128,Head,4,0.5,0.6366824387328317,0.5,0.5,0.6366824387328317,0.5
Graph+BGE,0,129,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,132,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,1.0,0.9217868789962071,0.8095238095238094
Graph+BGE,0,136,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,139,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,142,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.6666666666666666,0.6049306994552042,0.39999999999999997
Graph+BGE,0,142,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,142,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,143,Head,6,0.3333333333333333,0.38356636737133565,0.2333333333333333,0.5,0.4296937870297496,0.24444444444444444
Graph+BGE,0,152,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,154,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,154,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,156,Head,4,0.25,0.3903800499921017,0.25,0.25,0.3903800499921017,0.25
Graph+BGE,0,156,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,156,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,158,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,162,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,172,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,189,Head,4,0.5,0.5855700749881525,0.41666666666666663,0.5,0.5855700749881525,0.41666666666666663
Graph+BGE,0,197,Head,4,0.5,0.3191471544989227,0.1625,0.5,0.3191471544989227,0.1625
Graph+BGE,0,219,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,219,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,219,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,221,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,221,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,229,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,229,Tail,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,233,Head,1,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333
Graph+BGE,0,233,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,241,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,247,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,248,Head,4,0.25,0.3903800499921017,0.25,0.5,0.5294362295028773,0.3333333333333333
Graph+BGE,0,248,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,254,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,259,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,268,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.6666666666666666
Graph+BGE,0,268,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,268,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,271,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.6666666666666666
Graph+BGE,0,272,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,274,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,275,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.6666666666666666
Graph+BGE,0,275,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,276,Head,4,0.25,0.16812753627111746,0.0625,1.0,0.5548265038690208,0.36408730158730157
Graph+BGE,0,287,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,290,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,293,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,299,Head,3,0.6666666666666666,0.6713860725233041,0.5,0.6666666666666666,0.6713860725233041,0.5
Graph+BGE,0,299,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,299,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,302,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.6666666666666666
Graph+BGE,0,306,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,306,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,310,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,312,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,314,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,316,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,321,Head,4,0.25,0.3903800499921017,0.25,0.5,0.5294362295028773,0.3333333333333333
Graph+BGE,0,327,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,1.0,0.9325210919548239,0.8333333333333334
Graph+BGE,0,327,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,328,Head,2,0.5,0.3065735963827292,0.16666666666666666,0.5,0.3065735963827292,0.16666666666666666
Graph+BGE,0,331,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,334,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,334,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,339,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,340,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,351,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,352,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.6666666666666666,0.6364391809889587,0.4444444444444444
Graph+BGE,0,362,Head,4,0.5,0.5855700749881525,0.41666666666666663,0.75,0.715696758318853,0.5238095238095237
Graph+BGE,0,370,Head,2,1.0,0.8772153153380493,0.75,1.0,0.8772153153380493,0.75
Graph+BGE,0,372,Head,6,0.0,0.0,0.0,0.3333333333333333,0.18655283631292538,0.05787037037037037
Graph+BGE,0,377,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,378,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,384,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,384,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,392,Head,3,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,394,Head,4,0.5,0.6366824387328317,0.5,0.75,0.7757386182436072,0.625
Graph+BGE,0,399,Head,7,0.14285714285714285,0.21398626473452756,0.1,0.42857142857142855,0.36296602664297084,0.18027210884353742
Graph+BGE,0,399,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,401,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,407,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,427,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,439,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,451,Head,3,0.6666666666666666,0.6508205185601091,0.4666666666666666,1.0,0.8179809735263114,0.6333333333333333
Graph+BGE,0,453,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,456,Head,4,0.5,0.5413996682199069,0.35,0.5,0.5413996682199069,0.35
Graph+BGE,0,459,Head,4,0.75,0.787702056960637,0.65,0.75,0.787702056960637,0.65
Graph+BGE,0,465,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,480,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,483,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,487,Head,5,0.4,0.48522855511632257,0.3,0.6,0.5922216874835863,0.375
Graph+BGE,0,488,Head,3,0.6666666666666666,0.5307212739772434,0.38888888888888884,1.0,0.6719882468370725,0.49999999999999994
Graph+BGE,0,492,Head,8,0.5,0.8687949224876582,0.8,0.5,0.647939623894138,0.5
Graph+BGE,0,492,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,494,Head,5,0.2,0.21398626473452756,0.1,0.4,0.32097939710179135,0.15
Graph+BGE,0,499,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,502,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,507,Head,2,1.0,0.8503449055347546,0.7,1.0,0.8503449055347546,0.7
Graph+BGE,0,510,Head,2,1.0,0.9197207891481876,0.8333333333333333,1.0,0.9197207891481876,0.8333333333333333
Graph+BGE,0,514,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,514,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,526,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,540,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,542,Head,2,1.0,0.9197207891481876,0.8333333333333333,1.0,0.9197207891481876,0.8333333333333333
Graph+BGE,0,546,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,552,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,554,Head,3,1.0,0.9674679834891693,0.9166666666666666,1.0,0.9674679834891693,0.9166666666666666
Graph+BGE,0,561,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,563,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,564,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,566,Head,3,0.6666666666666666,0.7039180890341347,0.5555555555555555,0.6666666666666666,0.7039180890341347,0.5555555555555555
Graph+BGE,0,574,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,585,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,587,Head,3,1.0,0.9060254355346823,0.8055555555555555,1.0,0.9060254355346823,0.8055555555555555
Graph+BGE,0,589,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,592,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,598,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,601,Head,6,0.5,0.7227265726449519,0.6,0.6666666666666666,0.7526136409516659,0.611111111111111
Graph+BGE,0,602,Head,2,0.0,0.0,0.0,0.5,0.21840743681816419,0.08333333333333333
Graph+BGE,0,605,Head,13,0.3076923076923077,0.8687949224876582,0.8,0.3076923076923077,0.5637884576902256,0.4
Graph+BGE,0,605,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,607,Head,12,0.08333333333333333,0.3391602052736161,0.2,0.3333333333333333,0.4412851793128928,0.2261904761904762
