method,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,3,Head,4,0.25,0.3903800499921017,0.25,0.25,0.3903800499921017,0.25
Graph+BGE,3,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,3,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,6,Head,5,0.3333333333333333,0.34117058426470054,0.20444444444444443,0.4666666666666666,0.41153481346111026,0.2434920634920635
Graph+BGE,6,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,6,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,8,Head,4,0.3333333333333333,0.3446681485671223,0.19999999999999998,0.4166666666666667,0.3910202084040475,0.22777777777777777
Graph+BGE,8,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,9,Head,3,0.5555555555555555,0.5971617723687231,0.4333333333333333,0.6666666666666666,0.6442507633219995,0.45802469135802465
Graph+BGE,16,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,23,Head,4,0.5833333333333334,0.6496292120851069,0.5138888888888888,0.8333333333333334,0.7697918552304612,0.608068783068783
Graph+BGE,25,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,25,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,25,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,27,Head,2,0.5,0.5377157309218195,0.4166666666666667,0.5,0.5377157309218195,0.4166666666666667
Graph+BGE,33,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,37,Head,4,0.5,0.6366824387328317,0.5,0.5,0.6366824387328317,0.5
Graph+BGE,37,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,39,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,39,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,47,Head,4,0.25,0.3423541629083111,0.20833333333333334,0.25,0.3423541629083111,0.20833333333333334
Graph+BGE,51,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,51,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,57,Head,3,0.3333333333333333,0.41154645433712606,0.27777777777777773,0.3333333333333333,0.41154645433712606,0.27777777777777773
Graph+BGE,57,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,62,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,63,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,64,Head,3,0.2222222222222222,0.1592079011677393,0.07777777777777778,0.5555555555555555,0.30949236246160017,0.14629629629629629
Graph+BGE,71,Head,2,0.8333333333333334,0.8710490642551528,0.8333333333333334,0.8333333333333334,0.8710490642551528,0.8333333333333334
Graph+BGE,73,Head,2,0.5,0.5377157309218195,0.4166666666666667,0.5,0.5377157309218195,0.4166666666666667
Graph+BGE,78,Head,2,0.6666666666666666,0.4659187114909737,0.31666666666666665,1.0,0.6115236693697498,0.42777777777777776
Graph+BGE,93,Head,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Graph+BGE,93,Middle,1,0.0,0.0,0.0,0.3333333333333333,0.11873572903600739,0.05555555555555555
Graph+BGE,97,Head,5,0.20000000000000004,0.3391602052736162,0.20000000000000004,0.20000000000000004,0.3391602052736162,0.20000000000000004
Graph+BGE,100,Head,2,0.8333333333333334,0.7011699002896554,0.5833333333333334,1.0,0.7739723792290434,0.6388888888888888
Graph+BGE,105,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,106,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
