method,mashup_id,num_positives,Recall@5,HitRate@5,NDCG@5,MAP@5,Recall@10,HitRate@10,NDCG@10,MAP@10,seed
SCF-LightGCN+BGE+Popularity,3,6,0.16666666666666666,1.0,0.3391602052736161,0.2,0.16666666666666666,1.0,0.30260241349881345,0.16666666666666666,0
SCF-LightGCN+BGE+Popularity,6,8,0.5,1.0,0.8539316501572937,0.76,0.5,1.0,0.6368547259115425,0.475,0
SCF-LightGCN+BGE+Popularity,8,5,0.4,1.0,0.4703652827859579,0.27999999999999997,0.4,1.0,0.4703652827859579,0.27999999999999997,0
SCF-LightGCN+BGE+Popularity,9,3,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,1.0,1.0,0.7669719408901708,0.5396825396825397,0
SCF-LightGCN+BGE+Popularity,16,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,23,4,0.5,1.0,0.6366824387328317,0.5,0.5,1.0,0.6366824387328317,0.5,0
SCF-LightGCN+BGE+Popularity,25,3,0.6666666666666666,1.0,0.7039180890341347,0.5555555555555555,0.6666666666666666,1.0,0.7039180890341347,0.5555555555555555,0
SCF-LightGCN+BGE+Popularity,27,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
SCF-LightGCN+BGE+Popularity,33,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,37,5,0.4,1.0,0.5531464700081437,0.4,0.6,1.0,0.6552438651310554,0.4666666666666667,0
SCF-LightGCN+BGE+Popularity,39,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,47,4,0.25,1.0,0.3903800499921017,0.25,0.25,1.0,0.3903800499921017,0.25,0
SCF-LightGCN+BGE+Popularity,51,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,57,4,0.25,1.0,0.24630238874073,0.125,0.25,1.0,0.24630238874073,0.125,0
SCF-LightGCN+BGE+Popularity,62,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
