method,seed,mashup_id,rank,api_id,is_positive
SCF-LightGCN+BGE+Popularity,0,3,1,624,1
SCF-LightGCN+BGE+Popularity,0,3,2,765,0
SCF-LightGCN+BGE+Popularity,0,3,3,892,0
SCF-LightGCN+BGE+Popularity,0,3,4,1162,0
SCF-LightGCN+BGE+Popularity,0,3,5,381,0
SCF-LightGCN+BGE+Popularity,0,3,6,1022,0
SCF-LightGCN+BGE+Popularity,0,3,7,77,0
SCF-LightGCN+BGE+Popularity,0,3,8,221,0
SCF-LightGCN+BGE+Popularity,0,3,9,196,0
SCF-LightGCN+BGE+Popularity,0,3,10,1550,0
SCF-LightGCN+BGE+Popularity,0,6,1,624,1
SCF-LightGCN+BGE+Popularity,0,6,2,1590,1
SCF-LightGCN+BGE+Popularity,0,6,3,554,1
SCF-LightGCN+BGE+Popularity,0,6,4,652,0
SCF-LightGCN+BGE+Popularity,0,6,5,1130,1
SCF-LightGCN+BGE+Popularity,0,6,6,750,0
SCF-LightGCN+BGE+Popularity,0,6,7,634,0
SCF-LightGCN+BGE+Popularity,0,6,8,1379,0
SCF-LightGCN+BGE+Popularity,0,6,9,661,0
SCF-LightGCN+BGE+Popularity,0,6,10,726,0
SCF-LightGCN+BGE+Popularity,0,8,1,624,1
SCF-LightGCN+BGE+Popularity,0,8,2,1079,0
SCF-LightGCN+BGE+Popularity,0,8,3,1278,0
SCF-LightGCN+BGE+Popularity,0,8,4,1376,0
SCF-LightGCN+BGE+Popularity,0,8,5,867,1
SCF-LightGCN+BGE+Popularity,0,8,6,1447,0
SCF-LightGCN+BGE+Popularity,0,8,7,762,0
SCF-LightGCN+BGE+Popularity,0,8,8,726,0
SCF-LightGCN+BGE+Popularity,0,8,9,892,0
SCF-LightGCN+BGE+Popularity,0,8,10,122,0
SCF-LightGCN+BGE+Popularity,0,9,1,624,1
SCF-LightGCN+BGE+Popularity,0,9,2,1008,0
SCF-LightGCN+BGE+Popularity,0,9,3,196,0
SCF-LightGCN+BGE+Popularity,0,9,4,1253,0
SCF-LightGCN+BGE+Popularity,0,9,5,77,0
SCF-LightGCN+BGE+Popularity,0,9,6,765,0
SCF-LightGCN+BGE+Popularity,0,9,7,990,1
SCF-LightGCN+BGE+Popularity,0,9,8,1399,0
SCF-LightGCN+BGE+Popularity,0,9,9,867,1
SCF-LightGCN+BGE+Popularity,0,9,10,221,0
SCF-LightGCN+BGE+Popularity,0,16,1,624,1
SCF-LightGCN+BGE+Popularity,0,16,2,1022,1
SCF-LightGCN+BGE+Popularity,0,16,3,726,0
SCF-LightGCN+BGE+Popularity,0,16,4,416,0
SCF-LightGCN+BGE+Popularity,0,16,5,77,0
SCF-LightGCN+BGE+Popularity,0,16,6,1362,0
SCF-LightGCN+BGE+Popularity,0,16,7,1162,0
SCF-LightGCN+BGE+Popularity,0,16,8,698,0
SCF-LightGCN+BGE+Popularity,0,16,9,204,0
SCF-LightGCN+BGE+Popularity,0,16,10,143,0
SCF-LightGCN+BGE+Popularity,0,23,1,624,1
SCF-LightGCN+BGE+Popularity,0,23,2,892,1
SCF-LightGCN+BGE+Popularity,0,23,3,765,0
SCF-LightGCN+BGE+Popularity,0,23,4,1162,0
SCF-LightGCN+BGE+Popularity,0,23,5,889,0
SCF-LightGCN+BGE+Popularity,0,23,6,196,0
SCF-LightGCN+BGE+Popularity,0,23,7,239,0
SCF-LightGCN+BGE+Popularity,0,23,8,1052,0
SCF-LightGCN+BGE+Popularity,0,23,9,1000,0
SCF-LightGCN+BGE+Popularity,0,23,10,89,0
SCF-LightGCN+BGE+Popularity,0,25,1,624,1
SCF-LightGCN+BGE+Popularity,0,25,2,1022,0
SCF-LightGCN+BGE+Popularity,0,25,3,744,1
SCF-LightGCN+BGE+Popularity,0,25,4,342,0
SCF-LightGCN+BGE+Popularity,0,25,5,1547,0
SCF-LightGCN+BGE+Popularity,0,25,6,416,0
SCF-LightGCN+BGE+Popularity,0,25,7,698,0
SCF-LightGCN+BGE+Popularity,0,25,8,293,0
SCF-LightGCN+BGE+Popularity,0,25,9,637,0
SCF-LightGCN+BGE+Popularity,0,25,10,226,0
SCF-LightGCN+BGE+Popularity,0,27,1,624,1
SCF-LightGCN+BGE+Popularity,0,27,2,196,0
SCF-LightGCN+BGE+Popularity,0,27,3,381,0
SCF-LightGCN+BGE+Popularity,0,27,4,990,0
SCF-LightGCN+BGE+Popularity,0,27,5,1008,0
SCF-LightGCN+BGE+Popularity,0,27,6,726,0
SCF-LightGCN+BGE+Popularity,0,27,7,64,0
SCF-LightGCN+BGE+Popularity,0,27,8,765,0
SCF-LightGCN+BGE+Popularity,0,27,9,1550,0
SCF-LightGCN+BGE+Popularity,0,27,10,221,0
SCF-LightGCN+BGE+Popularity,0,33,1,624,1
SCF-LightGCN+BGE+Popularity,0,33,2,196,0
SCF-LightGCN+BGE+Popularity,0,33,3,1550,0
SCF-LightGCN+BGE+Popularity,0,33,4,892,0
SCF-LightGCN+BGE+Popularity,0,33,5,765,0
SCF-LightGCN+BGE+Popularity,0,33,6,77,0
SCF-LightGCN+BGE+Popularity,0,33,7,726,0
SCF-LightGCN+BGE+Popularity,0,33,8,1037,0
SCF-LightGCN+BGE+Popularity,0,33,9,221,0
SCF-LightGCN+BGE+Popularity,0,33,10,381,0
SCF-LightGCN+BGE+Popularity,0,37,1,624,1
SCF-LightGCN+BGE+Popularity,0,37,2,1162,1
SCF-LightGCN+BGE+Popularity,0,37,3,634,0
SCF-LightGCN+BGE+Popularity,0,37,4,96,0
SCF-LightGCN+BGE+Popularity,0,37,5,1172,0
SCF-LightGCN+BGE+Popularity,0,37,6,1070,0
SCF-LightGCN+BGE+Popularity,0,37,7,726,0
SCF-LightGCN+BGE+Popularity,0,37,8,336,0
SCF-LightGCN+BGE+Popularity,0,37,9,787,1
SCF-LightGCN+BGE+Popularity,0,37,10,226,0
SCF-LightGCN+BGE+Popularity,0,39,1,624,1
SCF-LightGCN+BGE+Popularity,0,39,2,331,1
SCF-LightGCN+BGE+Popularity,0,39,3,1022,0
SCF-LightGCN+BGE+Popularity,0,39,4,77,0
SCF-LightGCN+BGE+Popularity,0,39,5,226,0
SCF-LightGCN+BGE+Popularity,0,39,6,698,0
SCF-LightGCN+BGE+Popularity,0,39,7,196,0
SCF-LightGCN+BGE+Popularity,0,39,8,637,0
SCF-LightGCN+BGE+Popularity,0,39,9,1156,0
SCF-LightGCN+BGE+Popularity,0,39,10,91,0
SCF-LightGCN+BGE+Popularity,0,47,1,624,1
SCF-LightGCN+BGE+Popularity,0,47,2,196,0
SCF-LightGCN+BGE+Popularity,0,47,3,1425,0
SCF-LightGCN+BGE+Popularity,0,47,4,491,0
SCF-LightGCN+BGE+Popularity,0,47,5,154,0
SCF-LightGCN+BGE+Popularity,0,47,6,64,0
SCF-LightGCN+BGE+Popularity,0,47,7,1008,0
SCF-LightGCN+BGE+Popularity,0,47,8,881,0
SCF-LightGCN+BGE+Popularity,0,47,9,990,0
SCF-LightGCN+BGE+Popularity,0,47,10,27,0
SCF-LightGCN+BGE+Popularity,0,51,1,624,1
SCF-LightGCN+BGE+Popularity,0,51,2,1643,1
SCF-LightGCN+BGE+Popularity,0,51,3,381,0
SCF-LightGCN+BGE+Popularity,0,51,4,1080,0
SCF-LightGCN+BGE+Popularity,0,51,5,671,0
SCF-LightGCN+BGE+Popularity,0,51,6,1192,0
SCF-LightGCN+BGE+Popularity,0,51,7,990,0
SCF-LightGCN+BGE+Popularity,0,51,8,689,0
SCF-LightGCN+BGE+Popularity,0,51,9,27,0
SCF-LightGCN+BGE+Popularity,0,51,10,765,0
SCF-LightGCN+BGE+Popularity,0,57,1,634,0
SCF-LightGCN+BGE+Popularity,0,57,2,624,1
SCF-LightGCN+BGE+Popularity,0,57,3,475,0
SCF-LightGCN+BGE+Popularity,0,57,4,726,0
SCF-LightGCN+BGE+Popularity,0,57,5,77,0
SCF-LightGCN+BGE+Popularity,0,57,6,750,0
SCF-LightGCN+BGE+Popularity,0,57,7,336,0
SCF-LightGCN+BGE+Popularity,0,57,8,226,0
SCF-LightGCN+BGE+Popularity,0,57,9,96,0
SCF-LightGCN+BGE+Popularity,0,57,10,1590,0
SCF-LightGCN+BGE+Popularity,0,62,1,624,1
SCF-LightGCN+BGE+Popularity,0,62,2,196,0
SCF-LightGCN+BGE+Popularity,0,62,3,1329,0
SCF-LightGCN+BGE+Popularity,0,62,4,726,0
SCF-LightGCN+BGE+Popularity,0,62,5,1022,0
SCF-LightGCN+BGE+Popularity,0,62,6,765,0
SCF-LightGCN+BGE+Popularity,0,62,7,1162,0
SCF-LightGCN+BGE+Popularity,0,62,8,190,0
SCF-LightGCN+BGE+Popularity,0,62,9,204,0
SCF-LightGCN+BGE+Popularity,0,62,10,47,0
SCF-LightGCN+BGE+Popularity,0,63,1,624,1
SCF-LightGCN+BGE+Popularity,0,63,2,892,0
SCF-LightGCN+BGE+Popularity,0,63,3,196,0
SCF-LightGCN+BGE+Popularity,0,63,4,221,0
SCF-LightGCN+BGE+Popularity,0,63,5,637,0
SCF-LightGCN+BGE+Popularity,0,63,6,726,0
SCF-LightGCN+BGE+Popularity,0,63,7,689,0
SCF-LightGCN+BGE+Popularity,0,63,8,765,0
SCF-LightGCN+BGE+Popularity,0,63,9,1162,0
SCF-LightGCN+BGE+Popularity,0,63,10,1022,0
SCF-LightGCN+BGE+Popularity,0,64,1,750,1
SCF-LightGCN+BGE+Popularity,0,64,2,829,0
SCF-LightGCN+BGE+Popularity,0,64,3,999,0
SCF-LightGCN+BGE+Popularity,0,64,4,90,0
SCF-LightGCN+BGE+Popularity,0,64,5,634,0
SCF-LightGCN+BGE+Popularity,0,64,6,624,1
SCF-LightGCN+BGE+Popularity,0,64,7,1590,0
