subset,method_a,method_b,metric,num_mashups,mean_a,mean_b,mean_difference,relative_improvement_percent,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm,significance,ci_excludes_zero
full,SCF-LightGCN+BGE,Inductive LightGCN,Recall@5,1645,0.714872477663034,0.6681998311667887,0.046672646496245127,6.984833626004796,0.03475907230051019,0.058644311940418685,30269.0,9.081375087895648e-11,0.35867365856242384,0.14832826747720365,0.7361702127659574,3.6325500351582594e-10,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,NDCG@5,1645,0.696353856718815,0.6601341360263601,0.03621972069245483,5.486721367035703,0.02719387281712515,0.04559254051724804,77302.5,3.611349806233373e-10,0.2825620893195233,0.22857142857142856,0.6012158054711246,1.0834049418700118e-09,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,MAP@5,1645,0.6417990543735225,0.609807497467072,0.03199155690645052,5.246173102057996,0.02297011426319937,0.041287882753574236,78938.0,2.9679452351325154e-09,0.26738315328358764,0.2297872340425532,0.6012158054711246,2.9679452351325154e-09,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Recall@10,1645,0.7738531091437663,0.7199206220611144,0.053932487082651755,7.491449116743512,0.04112252777256339,0.06689199740813292,33433.0,2.2622365646401048e-13,0.3907203907203907,0.16717325227963525,0.715501519756839,2.0360129081760943e-12,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,NDCG@10,1645,0.7157886819132918,0.6768596744546572,0.03892900745863462,5.751414795097602,0.030079776711192774,0.0482751356932856,101190.0,3.1036405394220893e-12,0.29273867186680924,0.26990881458966565,0.5404255319148936,1.8621843236532536e-11,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,MAP@10,1645,0.6505046909904342,0.6170662045748165,0.03343848641561769,5.418946324998977,0.02456058515679903,0.04258038918816242,105499.0,3.959278882504388e-10,0.2626211793979297,0.26869300911854105,0.5404255319148936,1.0834049418700118e-09,***,True
full,SCF-LightGCN+BGE,Inductive BPR-MF,Recall@5,1645,0.714872477663034,0.6523010209822643,0.06257145668076959,9.592420472766802,0.0492986660300901,0.07607940238563195,35243.0,2.0505401008668725e-16,0.42582274356467903,0.18115501519756838,0.6990881458966566,2.2555941109535598e-15,***,True
full,SCF-LightGCN+BGE,Inductive BPR-MF,NDCG@5,1645,0.696353856718815,0.6506183768207416,0.045735479898073146,7.029540130969,0.035694096659913556,0.056183671192272154,85630.0,7.330177384868369e-13,0.3118357342334197,0.2480243161094225,0.5714285714285714,5.864141907894695e-12,***,True
full,SCF-LightGCN+BGE,Inductive BPR-MF,MAP@5,1645,0.6417990543735225,0.6018887200270179,0.03991033434650456,6.630849361109982,0.02983648823595632,0.050289080265676016,87917.5,2.08809774048461e-11,0.29144503546099293,0.24924012158054712,0.5720364741641337,1.044048870242305e-10,***,True
full,SCF-LightGCN+BGE,Inductive BPR-MF,Recall@10,1645,0.7738531091437663,0.6982915477632377,0.07556156138052865,10.820918801404211,0.0612178751780998,0.08995712445497388,39371.0,2.4222931883177853e-21,0.4688208310847275,0.20364741641337386,0.6693009118541033,2.906751825981342e-20,***,True
full,SCF-LightGCN+BGE,Inductive BPR-MF,NDCG@10,1645,0.7157886819132918,0.6652096402902452,0.05057904162304671,7.603473936574039,0.04039862086939889,0.06124087445317953,109234.0,6.857994310611141e-16,0.32824756088936446,0.2875379939209726,0.5100303951367782,6.857994310611141e-15,***,True
full,SCF-LightGCN+BGE,Inductive BPR-MF,MAP@10,1645,0.6505046909904342,0.6084375099077117,0.042067181082722414,6.913969043279924,0.03179015842734332,0.052251782051144585,115512.5,1.0517531805801867e-12,0.2896368930665609,0.2838905775075988,0.5100303951367782,7.362272264061307e-12,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Recall@5,1645,0.714872477663034,0.57219438670619,0.14267809095684378,24.93524827780354,0.12710383622189925,0.15840691131296827,34347.0,9.156037809637127e-64,0.7286066467548475,0.3434650455927052,0.5677811550151975,1.2818452933491976e-62,***,True
full,SCF-LightGCN+BGE,Graph+BGE,NDCG@5,1645,0.696353856718815,0.5346694408829059,0.16168441583590887,30.24007049456904,0.14770299400380202,0.1759734203905315,76036.0,2.9330717892268793e-105,0.7542580490863374,0.5556231003039513,0.32401215805471123,4.399607683840319e-104,***,True
full,SCF-LightGCN+BGE,Graph+BGE,MAP@5,1645,0.6417990543735225,0.4742731059326804,0.16752594844084204,35.32267513069171,0.1539225838680626,0.1813871425757064,69992.5,1.7487676168482503e-110,0.7733829138309515,0.5544072948328268,0.32462006079027356,2.9729049486420255e-109,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Recall@10,1645,0.7738531091437663,0.6419604277362535,0.13189268140751273,20.545297764319553,0.11547177452503955,0.14872365188362,37180.0,3.4520434693783243e-50,0.6652124388256322,0.3100303951367781,0.5951367781155015,4.487656510191821e-49,***,True
full,SCF-LightGCN+BGE,Graph+BGE,NDCG@10,1645,0.7157886819132918,0.5591070931361808,0.15668158877711114,28.02353801277003,0.143902712301057,0.16972956441079998,91008.0,4.754245742437154e-109,0.7427172046278562,0.5902735562310031,0.2772036474164134,7.606793187899446e-108,***,True
full,SCF-LightGCN+BGE,Graph+BGE,MAP@10,1645,0.6505046909904342,0.48554154155189033,0.16496314943854384,33.975084585201046,0.1514726584535086,0.17826943652066815,84159.5,1.0348794014818116e-114,0.7620781533807804,0.5914893617021276,0.2772036474164134,1.862782922667261e-113,***,True
