comparison,main_method,baseline_method,metric,num_mashups,main_mean,baseline_mean,mean_difference,relative_improvement_percent,wilcoxon_statistic,p_value,rank_biserial,positive_difference_ratio,zero_difference_ratio,bootstrap_samples,ci_95_low,ci_95_high,bootstrap_probability_positive,p_value_holm,significance,ci_excludes_zero
Graph+BGE vs Popularity,Graph+BGE,Popularity,Recall@5,1645,0.57219438670619,0.3920582599117403,0.1801361267944497,45.94626493394165,34134.5,3.021750277620314e-70,0.7503236660205537,0.34407294832826746,0.5507598784194528,10000,0.16245684811807642,0.19794358760135175,1.0,2.4174002220962513e-69,***,True
Graph+BGE vs Popularity,Graph+BGE,Popularity,NDCG@5,1645,0.5346694408829059,0.3602112312970252,0.17445820958588068,48.432196008354026,131066.0,6.9159635214489824e-74,0.614716305020423,0.48814589665653496,0.29118541033434653,10000,0.1577088899781867,0.19133838345711107,1.0,6.224367169304084e-73,***,True
Graph+BGE vs Popularity,Graph+BGE,Popularity,MAP@5,1645,0.4742731059326804,0.3107272880783519,0.16354581785432848,52.633233104744036,149901.5,2.7357216594629823e-61,0.5585906845603987,0.48936170212765956,0.2917933130699088,10000,0.14650107368006302,0.18053184594168636,1.0,2.8662327151754797e-61,***,True
Graph+BGE vs Popularity,Graph+BGE,Popularity,Recall@10,1645,0.6419604277362535,0.48210781930414187,0.1598526084321116,33.157024638770125,24391.0,2.2247950277885478e-66,0.7736292088948287,0.31550151975683893,0.6012158054711246,10000,0.14345851300349147,0.1770371629939963,1.0,1.112397513894274e-65,***,True
Graph+BGE vs Popularity,Graph+BGE,Popularity,NDCG@10,1645,0.5591070931361808,0.39096643299064254,0.1681406601455381,43.00641844348887,140949.5,7.696757310006813e-81,0.6270363240654375,0.5197568389057751,0.252887537993921,10000,0.15290794018899742,0.1836282466488428,1.0,1.0005784503008857e-79,***,True
Graph+BGE vs Popularity,Graph+BGE,Popularity,MAP@10,1645,0.48554154155189033,0.32300622309601534,0.162535318455875,50.31956254525798,164771.0,9.200832376553062e-66,0.5640027254625679,0.5191489361702127,0.252887537993921,10000,0.14631675983026893,0.1792043962312213,1.0,2.7602497129659187e-65,***,True
Graph+BGE vs Graph-only,Graph+BGE,Graph-only,Recall@5,1645,0.57219438670619,0.3920582599117403,0.1801361267944497,45.94626493394165,34134.5,3.021750277620314e-70,0.7503236660205537,0.34407294832826746,0.5507598784194528,10000,0.16256325558542617,0.19763535897752774,1.0,2.4174002220962513e-69,***,True
Graph+BGE vs Graph-only,Graph+BGE,Graph-only,NDCG@5,1645,0.5346694408829059,0.3599313060895051,0.1747381347934009,48.54763446165704,130565.5,3.1263183148050077e-74,0.6161875827685597,0.48814589665653496,0.29118541033434653,10000,0.15803413971117777,0.1918088356915555,1.0,3.1263183148050076e-73,***,True
Graph+BGE vs Graph-only,Graph+BGE,Graph-only,MAP@5,1645,0.4742731059326804,0.3103664302600473,0.1639066756726331,52.81069719276674,149452.5,1.4331163575877399e-61,0.5599128379920347,0.4887537993920973,0.2917933130699088,10000,0.14736428571428573,0.18114775976584488,1.0,2.8662327151754797e-61,***,True
Graph+BGE vs Graph-only,Graph+BGE,Graph-only,Recall@10,1645,0.6419604277362535,0.48132385066450106,0.16063657707175238,33.37390757802308,26219.0,2.821772611746521e-69,0.7755088061784525,0.32887537993920973,0.5848024316109423,10000,0.14459853058925057,0.17737195509809028,1.0,1.6930635670479125e-68,***,True
Graph+BGE vs Graph-only,Graph+BGE,Graph-only,NDCG@10,1645,0.5591070931361808,0.3898805250567225,0.1692265680794582,43.40472457680158,141857.0,4.19571639991643e-81,0.6270655304359714,0.5203647416413374,0.25045592705167175,10000,0.15400311752381673,0.18433945869269372,1.0,5.874002959883002e-80,***,True
Graph+BGE vs Graph-only,Graph+BGE,Graph-only,MAP@10,1645,0.48554154155189033,0.3217668120308276,0.1637747295210628,50.898577291859404,165482.0,3.4662137290930953e-66,0.5649566683886267,0.5173252279635259,0.25045592705167175,10000,0.14711923490192355,0.17988113663726965,1.0,1.3864854916372381e-65,***,True
